date,nav,accum_nav,daily_growth,purchase_status,redeem_status
2018-09-07,1.2506,1.2506,-0.30%,开放申购,开放赎回
2018-09-10,1.2557,1.2557,0.41%,开放申购,开放赎回
2018-09-11,1.2670,1.2670,0.90%,开放申购,开放赎回
2018-09-12,1.2647,1.2647,-0.18%,开放申购,开放赎回
2018-09-13,1.2756,1.2756,0.86%,开放申购,开放赎回
2018-09-14,1.2707,1.2707,-0.38%,开放申购,开放赎回
2018-09-17,1.2555,1.2555,-1.20%,开放申购,开放赎回
2018-09-18,1.2659,1.2659,0.83%,开放申购,开放赎回
2018-09-19,1.2654,1.2654,-0.04%,开放申购,开放赎回
2018-09-20,1.2772,1.2772,0.93%,开放申购,开放赎回
2018-09-21,1.2680,1.2680,-0.72%,开放申购,开放赎回
2018-09-25,1.2745,1.2745,0.51%,开放申购,开放赎回
2018-09-26,1.2768,1.2768,0.18%,开放申购,开放赎回
2018-09-27,1.2888,1.2888,0.94%,开放申购,开放赎回
2018-09-28,1.2912,1.2912,0.19%,开放申购,开放赎回
2018-10-08,1.2492,1.2492,-3.25%,开放申购,开放赎回
2018-10-09,1.2535,1.2535,0.34%,开放申购,开放赎回
2018-10-10,1.2017,1.2017,-4.13%,开放申购,开放赎回
2018-10-11,1.1889,1.1889,-1.07%,开放申购,开放赎回
2018-10-12,1.2227,1.2227,2.84%,开放申购,开放赎回
2018-10-15,1.2088,1.2088,-1.14%,开放申购,开放赎回
2018-10-16,1.2422,1.2422,2.76%,开放申购,开放赎回
2018-10-17,1.2422,1.2422,0.00%,开放申购,开放赎回
2018-10-18,1.2188,1.2188,-1.88%,开放申购,开放赎回
2018-10-19,1.2192,1.2192,0.03%,开放申购,开放赎回
2018-10-22,1.2220,1.2220,0.23%,开放申购,开放赎回
2018-10-23,1.2201,1.2201,-0.16%,开放申购,开放赎回
2018-10-24,1.1664,1.1664,-4.40%,开放申购,开放赎回
2018-10-25,1.2045,1.2045,3.27%,开放申购,开放赎回
2018-10-26,1.1779,1.1779,-2.21%,开放申购,开放赎回
2018-10-29,1.1528,1.1528,-2.13%,开放申购,开放赎回
2018-10-30,1.1726,1.1726,1.72%,开放申购,开放赎回
2018-10-31,1.1994,1.1994,2.29%,开放申购,开放赎回
2018-11-01,1.2165,1.2165,1.43%,开放申购,开放赎回
2018-11-02,1.1943,1.1943,-1.82%,开放申购,开放赎回
2018-11-05,1.1829,1.1829,-0.95%,开放申购,开放赎回
2018-11-06,1.1931,1.1931,0.86%,开放申购,开放赎回
2018-11-07,1.2276,1.2276,2.89%,开放申购,开放赎回
2018-11-08,1.2226,1.2226,-0.41%,开放申购,开放赎回
2018-11-09,1.2060,1.2060,-1.36%,开放申购,开放赎回
2018-11-12,1.1743,1.1743,-2.63%,开放申购,开放赎回
2018-11-13,1.1771,1.1771,0.24%,开放申购,开放赎回
2018-11-14,1.1639,1.1639,-1.12%,开放申购,开放赎回
2018-11-15,1.1835,1.1835,1.68%,开放申购,开放赎回
2018-11-16,1.1795,1.1795,-0.34%,开放申购,开放赎回
2018-11-19,1.1406,1.1406,-3.30%,开放申购,开放赎回
2018-11-20,1.1222,1.1222,-1.61%,开放申购,开放赎回
2018-11-21,1.1330,1.1330,0.96%,开放申购,开放赎回
2018-11-23,1.1227,1.1227,,开放申购,开放赎回
2018-11-26,1.1499,1.1499,2.42%,开放申购,开放赎回
2018-11-27,1.1537,1.1537,0.33%,开放申购,开放赎回
2018-11-28,1.1891,1.1891,3.07%,开放申购,开放赎回
2018-11-29,1.1831,1.1831,-0.50%,开放申购,开放赎回
2018-11-30,1.1925,1.1925,0.79%,开放申购,开放赎回
2018-12-03,1.2123,1.2123,1.66%,开放申购,开放赎回
2018-12-04,1.1609,1.1609,-4.24%,开放申购,开放赎回
2018-12-06,1.1623,1.1623,,开放申购,开放赎回
2018-12-07,1.1274,1.1274,-3.00%,开放申购,开放赎回
2018-12-10,1.1389,1.1389,1.02%,开放申购,开放赎回
2018-12-11,1.1472,1.1472,0.73%,开放申购,开放赎回
