date,market_regime,temperature_score,undervaluation_score,overheat_score,trend_score,volatility_score,sentiment_score,breadth_score,semiconductor_score,top_risk_score,recovery_score,confidence_score,dashboard_action,missing_inputs,ndx,sma,dist_sma,vxn,vix,vxn_pctile,vix_pctile,cnn_fear_greed,cnn_ma5,ndxe_ndx,ndxe_ma,sox_ndx,sox_ma,previous_market_regime,fwd_1m,fwd_3m,fwd_6m,fwd_12m,fwd_12m_mdd
2017-11-07,warm_recovery,72.38803079205113,0.0,44.77606158410224,73.92820667058353,97.53694581280789,58.0,34.43091427433366,80.32476392004347,49.151131913743015,56.57775864176148,70.62976500604407,normal_dca,,6320.78,5768.646534090909,0.0957128266823341,14.12,9.89,0.2372742200328407,0.0246305418719211,58.0,66.6,0.5396564981,0.5570004743693877,0.2082891668,0.1963788804244898,recovery,-0.0007119374507577048,-0.00232249817269381,0.10169156338300023,0.139595113261338,-0.12353234519293288
2017-11-08,warm_recovery,72.99446521210155,0.0,45.98893042420309,74.7545574056814,98.1937602627258,54.0,34.11519415480642,78.85265913602075,50.3765036633459,55.80376482620627,70.03639343912364,normal_dca,,6345.81,5774.071647727273,0.0990182296227255,14.06,9.78,0.2266009852216748,0.0180623973727422,54.0,63.0,0.5390076287,0.5566935671591837,0.2081893407,0.196831137277551,recovery,-0.00019540452676658493,0.010537661858769809,0.09561427146416301,0.1280813639235967,-0.12353234519293288
2017-11-20,warm_recovery,69.17246740464388,0.0,38.34493480928776,71.1430562037127,92.04265791632486,50.0,43.42387820027939,74.25611179483678,35.33482290668644,57.65920475116158,73.27765517616517,normal_dca,,6308.61,5816.680397727273,0.0845722248148508,13.82,10.65,0.1796554552912223,0.0795734208367514,50.0,45.8,0.5472552591,0.554548820272,0.2096832741,0.199981716362,recovery,0.02597561110926172,0.07184466942797241,0.10224439298038712,0.03461142787396909,-0.14793647146672795
2017-11-21,warm_recovery,72.69199983452415,0.0,45.38399966904829,73.88591600921768,98.44134536505332,54.0,41.815185988907054,73.22480742728905,42.22281376287916,64.55960402403862,74.97502187700772,normal_dca,,6378.63,5822.342102272727,0.0955436640368707,12.78,9.73,0.0738310090237899,0.0155865463494667,54.0,46.8,0.5451985771,0.554271800294,0.2097503696,0.200440008408,recovery,0.01474611319358532,0.08120395758963928,0.08952862918839943,0.03088907806221708,-0.14793647146672795
2017-11-24,warm_recovery,72.99528138014534,0.0,45.99056276029068,74.56089062139839,98.440065681445,59.0,40.82135994681963,69.51019545537092,43.671562123398374,56.766436324099416,71.3467837937866,normal_dca,,6409.29,5835.945885714286,0.0982435624855935,12.38,9.67,0.0435139573070607,0.01559934318555,59.0,54.25,0.5433940421,0.5535558213673469,0.2093351994,0.2014736199897959,recovery,0.003724281472674784,0.07661691076546706,0.08070316680942824,0.04197812862267125,-0.14793647146672795
2018-03-06,warm_recovery,46.70296009492338,34.23848684210526,24.220558347741488,76.91173149749054,88.65131578947368,26.0,45.01160098302677,62.3754986487814,23.15381777777935,66.41243644889695,78.03789903358259,normal_dca,,6913.02,6241.176531791908,0.1076469259899621,20.6,18.36,0.8865131578947368,0.8634868421052632,26.0,14.0,0.5369042763,0.5423148419489362,0.2020057804,0.1971266980297872,recovery,-0.0460261940512251,0.03670320641340541,0.10260349311878159,0.016470370402515755,-0.22986796654908892
2018-03-09,warm_recovery,59.72933828525885,11.792763157894736,30.07216341262295,83.41351490291439,70.72368421052632,44.0,45.40765506532342,60.303376418661415,27.146467494143792,83.28204871207154,86.46248923790759,normal_dca,,7101.18,6263.974393063584,0.1336540596116575,17.3,14.64,0.7072368421052632,0.6348684210526315,44.0,24.8,0.53663194,0.5416064270638298,0.2015383359,0.1974691381765957,recovery,-0.06834216285180783,0.007243866512326003,0.04634159393227599,0.01409624879245408,-0.22986796654908892
2018-03-12,warm_recovery,58.94804455051347,14.321546052631572,30.78548054839537,84.20608949821707,74.0953947368421,40.0,44.9715360402242,63.108218844275264,28.11757437107232,67.93478995865912,79.41355937171753,normal_dca,,7131.12,6272.8423699421965,0.1368243579928683,17.56,15.78,0.7401315789473685,0.740953947368421,40.0,30.0,0.5360448289,0.5414905604354167,0.2027591739,0.1975793472541666,recovery,-0.07680140006057956,0.005239008739160056,0.044391343856224674,0.017649401496539152,-0.22986796654908892
2018-06-06,warm_recovery,68.34779862422792,0.0,36.69559724845583,73.7668290229292,80.42763157894737,65.0,38.88719170199424,58.70967354748886,38.63450623434763,57.81659220802611,73.29056524674223,normal_dca,,7210.08,6584.143179190752,0.0950673160917168,15.51,11.64,0.46875,0.1957236842105263,65.0,54.6,0.5192300224,0.5310325482166667,0.1994346803,0.1960201374875,recovery,-0.0003814104697867915,0.043436411246477125,-0.05754027694560948,0.009133047067438893,-0.22986796654908892
2019-04-17,warm_recovery,65.00719676230685,0.0,30.014393524613705,71.00648988114972,67.35197368421053,71.0,41.7586341346451,79.86748269815465,30.75216100881518,55.81839434910566,73.96784525533452,normal_dca,,7680.72,7085.365375722543,0.0840259595245989,15.86,12.6,0.4177631578947368,0.3264802631578947,71.0,70.2,0.5234248873,0.5321969468020409,0.2027257861,0.1912985724918367,recovery,-0.013095126498557375,0.02708600235394587,0.034128310887520996,0.14023555083377603,-0.28032880839368923
2019-04-23,warm_recovery,70.33205072701394,0.0,40.66410145402787,75.32800089705495,72.01646090534979,75.0,40.08830422300442,74.43005151572042,40.40977186751648,58.70571362885168,73.28475084217769,normal_dca,,7810.71,7092.186387283237,0.1013120035882197,16.15,12.28,0.4502057613168724,0.279835390946502,75.0,71.75,0.5203803495,0.5309046808666666,0.2015245733,0.1921367518104166,recovery,-0.049937841758303736,0.018417019707555493,0.016595162283582487,0.10932680895846847,-0.28032880839368923
2019-04-24,warm_recovery,65.22289520486545,0.0,30.445790409730904,74.30484648700259,59.75308641975309,70.0,41.805389527035345,80.45673885251176,31.028953280262837,56.94762929192899,74.42064252531549,normal_dca,,7784.41,7094.670491329479,0.0972193859480103,16.67,13.14,0.5185185185185185,0.4024691358024691,70.0,71.5,0.5218121862,0.5305067790145833,0.2041285081,0.1924082523125,recovery,-0.061209520053542854,0.02905679428498753,0.011588546851977188,0.11010339897307575,-0.28032880839368923
2019-07-23,warm_recovery,63.619716171319574,0.0,27.239432342639144,76.19980038854868,70.12345679012346,50.0,51.548617852140886,79.9794727471957,20.429574256979357,66.37514846510206,79.4209303407681,normal_dca,,7954.56,7200.005203488372,0.1047992015541947,16.07,12.61,0.4008230452674897,0.2987654320987654,50.0,46.4,0.5248888688,0.5232681838979166,0.1977821526,0.18659416333125,recovery,-0.02782554911899593,-0.0017889110145627996,0.15513240204360756,0.36660607249175303,-0.28032880839368923
2019-07-24,warm_recovery,67.01556775718531,0.0,34.031135514370625,77.86724247824446,77.53086419753086,57.0,53.0870677741458,92.05656850120808,25.52335163577797,89.74076763331482,88.57711833211755,normal_dca,,8010.6,7207.21875,0.1114689699129778,15.41,12.07,0.3176954732510288,0.2246913580246913,57.0,48.4,0.5265585599,0.52332746519375,0.2024842084,0.1867740565895833,recovery,-0.03784610391231624,-0.01697500811424868,0.15059795770603945,0.3208236586522857,-0.28032880839368923
2019-07-25,warm_recovery,62.27135971143866,0.0,24.54271942287733,74.8364790243088,68.06584362139918,55.0,51.27524184433925,87.41522793193198,18.407039567158,74.71240881484997,83.71204008210701,normal_dca,,7929.87,7213.261889534883,0.0993459160972352,16.02,12.74,0.3925925925925926,0.3193415637860082,55.0,50.0,0.5247147809,0.5233799089791666,0.2010272552,0.1870315956375,recovery,-0.058623911867407674,-0.005094661072627904,0.1527893899899997,0.32198005768064286,-0.28032880839368923
