date,price,pe_ratio,pe_pctile,state,strategy_value,baseline_value
2022-09-02,12098.44,22.25,0.39331619537275064,normal_buy,142005.86374498703,134080.93746009044
2022-09-06,12011.31,22.25,0.39331619537275064,normal_buy,141236.4653012124,133315.3194067796
2022-09-07,12259.39,22.25,0.39331619537275064,normal_buy,144299.8444257146,136268.79629135208
2022-09-08,12321.19,22.25,0.39331619537275064,normal_buy,145227.26482636336,137155.7319064851
2022-09-09,12588.29,22.25,0.39331619537275064,normal_buy,148575.51612636942,140329.00770145474
2022-09-12,12739.72,22.25,0.39331619537275064,normal_buy,150562.79544762877,142217.08619632825
2022-09-13,12033.62,22.25,0.39331619537275064,normal_buy,142417.84046701927,134534.69281851247
2022-09-14,12134.4,22.25,0.39331619537275064,normal_buy,143810.57132957486,135861.40334637105
2022-09-15,11927.49,22.25,0.39331619537275064,normal_buy,141558.38207309722,133744.75951013708
2022-09-16,11861.38,22.25,0.39331619537275064,normal_buy,140973.77234893458,133203.4580249784
2022-09-19,11953.27,22.25,0.39331619537275064,normal_buy,142265.8948457388,134435.3839693386
2022-09-20,11851.54,22.25,0.39331619537275064,normal_buy,141255.12076612233,133491.25256335508
2022-09-21,11637.79,22.25,0.39331619537275064,normal_buy,138907.49555760442,131283.65361541943
2022-09-22,11501.65,22.25,0.39331619537275064,normal_buy,137482.5421562101,129947.88465901076
2022-09-23,11311.24,22.25,0.39331619537275064,normal_buy,135406.51646842062,127996.5953467884
2022-09-26,11254.11,22.25,0.39331619537275064,normal_buy,134922.61494340296,127550.11932009619
2022-09-27,11271.75,22.25,0.39331619537275064,normal_buy,135334.09634242975,127950.04486772335
2022-09-28,11493.83,22.25,0.39331619537275064,normal_buy,138200.496512388,130670.96184727168
2022-09-29,11164.78,22.25,0.39331619537275064,normal_buy,134444.03697040756,127130.06085988588
2022-09-30,10971.22,22.25,0.39331619537275064,normal_buy,132313.22635022583,125126.0501601641
2022-10-03,11229.73,23.14,0.44358974358974357,pause,135630.864328846,128274.3398879158
2022-10-04,11582.54,23.14,0.44358974358974357,pause,140085.7629990598,132504.3984784479
2022-10-05,11573.18,23.14,0.44358974358974357,pause,140172.88113189844,132597.31996460218
2022-10-06,11485.5,23.14,0.44358974358974357,pause,139315.45782925864,131792.74447070193
2022-10-07,11039.47,23.14,0.44358974358974357,pause,134136.32329827745,126874.68101536547
